0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 1 0 1 0 5 0 0 2 0 0 7 7 1 1 1
3 2 3 3 0 3 0 0 6 6 0 0 0 0 0 3 3 3
8 0 8 8 2 8 0 0 0 0 0 2 0 0 0 8 8 8
8 0 8 8 2 8 0 0 0 0 0 2 0 0 0 8 8 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 1 0 1 0 5 0 0 2 0 0 7 7 1 1 1
3 0 3 3 0 3 0 0 6 6 0 2 0 0 0 3 3 3
3 0 3 3 0 3 0 0 6 6 0 2 0 0 0 3 3 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
